ID_Venda,ID_Produto,ID_Cliente,ID_Tempo,ID_Plataforma,ID_Promocao,Quantidade,Preco_Unitario,Desconto_Percentual,Receita_Total,Custo_Total,Lucro_Bruto,Margem_Percentual,Canal_Venda,Forma_Pagamento,Data_Venda,Categoria,Dias_Apos_Lancamento,Midia_Fisica_Digital
VND00001,PRD001,CLI044,TMP0069,PLT001,PROMO003,2,224.91,10.00,449.82,329.80,120.02,26.68,E-commerce,Cartão Débito,2024-03-09,Jogos,486,Físico e Digital
VND00002,PRD001,CLI054,TMP0050,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Cartão Débito,2024-02-19,Jogos,467,Físico e Digital
VND00003,PRD001,CLI027,TMP0094,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Débito,2024-04-03,Jogos,511,Físico e Digital
VND00004,PRD001,CLI066,TMP0210,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Cartão Débito,2024-07-28,Jogos,627,Físico e Digital
VND00005,PRD001,CLI036,TMP0002,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,Cartão Crédito,2024-01-02,Jogos,419,Físico e Digital
VND00006,PRD001,CLI041,TMP1058,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Cartão Débito,2026-11-23,Jogos,1475,Físico e Digital
VND00007,PRD001,CLI029,TMP0306,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,App Mobile,PIX,2024-11-01,Jogos,723,Físico e Digital
VND00008,PRD001,CLI046,TMP1082,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Débito,2026-12-17,Jogos,1499,Físico e Digital
VND00009,PRD001,CLI015,TMP0010,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,App Mobile,Cartão Débito,2024-01-10,Jogos,427,Físico e Digital
VND00010,PRD001,CLI008,TMP0086,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Cartão Débito,2024-03-26,Jogos,503,Físico e Digital
VND00011,PRD001,CLI074,TMP0915,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Crédito,2026-07-03,Jogos,1332,Físico e Digital
VND00012,PRD001,CLI067,TMP0064,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,E-commerce,Cartão Crédito,2024-03-04,Jogos,481,Físico e Digital
VND00013,PRD001,CLI056,TMP0077,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,E-commerce,Cartão Crédito,2024-03-17,Jogos,494,Físico e Digital
VND00014,PRD001,CLI013,TMP0011,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,App Mobile,PIX,2024-01-11,Jogos,428,Físico e Digital
VND00015,PRD001,CLI048,TMP1061,PLT001,PROMO015,2,224.91,10.00,449.82,329.80,120.02,26.68,Loja Física,Cartão Crédito,2026-11-26,Jogos,1478,Físico e Digital
VND00016,PRD001,CLI029,TMP0024,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,PIX,2024-01-24,Jogos,441,Físico e Digital
VND00017,PRD001,CLI007,TMP0698,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,Loja Física,PIX,2025-11-28,Jogos,1115,Físico e Digital
VND00018,PRD001,CLI067,TMP0030,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Débito,2024-01-30,Jogos,447,Físico e Digital
VND00019,PRD001,CLI013,TMP0024,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,Loja Física,Cartão Crédito,2024-01-24,Jogos,441,Físico e Digital
VND00020,PRD001,CLI049,TMP0007,PLT001,PROMO000,2,249.90,0.00,499.80,329.80,170.00,34.01,App Mobile,Cartão Crédito,2024-01-07,Jogos,424,Físico e Digital
VND00021,PRD001,CLI074,TMP1030,PLT001,PROMO000,1,249.90,0.00,249.90,164.90,85.00,34.01,App Mobile,Boleto,2026-10-26,Jogos,1447,Físico e Digital
